Date,PFE,UTX,DIS,V,BA,PG,JNJ,KO,UNH,MCD,WMT,NKE,MSFT,HD,AAPL,MMM,CSCO,VZ,IBM,MRK,GE,TRV,INTC,GS,AXP,JPM,DD,XOM,CAT,CVX,^DJI
2015-09-15,31.385609000000002,89.16765699999999,101.24974300000001,69.719562,129.916449,66.117409,90.534451,36.681324,117.034446,93.82226899999999,61.533312,55.93787,42.262602,112.57246299999998,112.77539099999998,138.041336,24.481222,42.825776,139.68943000000002,51.061442,23.943709,97.520211,28.376606,183.47148700000002,74.13754499999999,60.630753000000006,46.690265999999994,69.133948,70.243926,72.297003,16599.849609
2015-09-16,31.395072999999996,90.379909,101.76857,70.194177,130.774292,66.73621999999999,90.735851,37.30062,118.126497,94.300027,61.887285,56.792862,42.570106,114.161538,112.901478,138.618101,24.566029999999998,42.659534,140.52266699999998,51.366571,24.539937,98.535445,28.414786,184.636232,74.932222,61.164774,46.7966,70.500309,71.242296,74.030181,16739.949219
2015-09-17,31.678934,89.773779,102.003509,70.16451500000001,131.012583,66.869501,90.956428,37.519754999999996,120.18383899999999,93.487832,61.676815000000005,56.640533,42.522059000000006,114.248747,110.486519,137.416488,24.386991000000002,41.772911,140.26701200000002,51.452389000000004,24.205735,98.293724,28.357515999999997,182.492711,74.680249,59.743892,46.4776,70.652123,69.75415500000001,74.395561,16674.740234
2015-09-18,31.082824,87.618672,100.67217600000001,69.007633,129.716277,66.583901,89.56580699999999,37.138649,119.413554,92.732979,60.595772,56.532435,41.782127,111.54538000000001,110.03068400000001,134.215389,24.066607,41.163357,136.829926,49.707434,23.680560999999997,96.35995,27.698928999999996,177.099663,73.604527,58.113209999999995,45.945928,68.963153,67.682066,72.83100999999999,16384.580078
2015-09-21,30.675955,88.080484,101.230168,69.986532,129.649563,67.259831,89.316452,37.338728,120.846869,93.545168,60.959309,57.274405,42.387527,112.960044,111.73763999999998,134.61912900000002,24.066607,41.375777,138.69523,48.610875,23.957470999999998,97.191466,27.832555,179.458516,74.370131,58.599555,46.632267999999996,69.636843,67.96462700000001,73.158907,16510.189453
2015-09-22,30.524563,84.857435,100.32955600000001,69.462475,127.71463899999999,66.821905,89.421948,36.957625,119.862073,92.876301,60.83494,56.984497,42.185728000000005,112.20426499999999,109.98219499999999,132.677332,23.689681,41.034058,136.754176,48.38203,23.976569,95.702466,27.364860999999998,175.90555600000002,73.371941,58.084603,46.951268,69.02008199999999,67.51253100000001,72.371953,16330.469727000002
2015-09-23,30.865197,83.66443000000001,99.428951,70.154625,125.50328799999998,66.888545,89.182185,36.92904,120.20333600000001,93.048294,60.959309,56.71915500000001,42.156897,112.562771,110.87446499999999,132.331267,23.821606,40.618453,136.02510800000002,48.65855,24.005214000000002,95.799154,27.431673999999997,175.602138,73.29441,57.827127000000004,46.313264000000004,68.602589,66.118575,71.313311,16279.889647999998
2015-09-24,30.940895,83.529736,98.498979,69.452585,123.673212,67.93576,88.693074,37.30062,118.06798899999998,92.962301,61.064544,56.404677,42.195336,112.72749099999999,111.533971,132.25436200000001,23.944105,40.720045,136.735249,48.238999,23.785595999999998,95.586437,27.18351,173.155199,72.383444,57.426611,46.429264,69.010599,61.974396,72.034686,16201.320312
2015-09-25,30.174468,83.99154899999999,98.185725,69.897545,124.874195,69.182897,87.273675,37.748416,113.465791,93.248952,61.016707,61.421592000000004,42.224163,113.115072,111.25271000000001,134.157713,24.528339000000003,40.840109999999996,137.691567,47.295004,23.795145,96.601672,27.498487,176.01322199999998,72.780778,58.618628,46.931934000000005,69.485029,61.202071,72.79353499999999,16314.669922
2015-09-28,29.162028999999997,83.53935899999999,96.41387399999999,66.446663,122.129089,68.326082,87.62852600000001,37.662667,109.887377,91.691461,60.901906999999994,60.016265000000004,41.599548,110.557048,109.05113,133.023398,24.179682999999997,40.396799,134.945695,46.169841,23.212679,95.799154,27.450764000000003,169.34776200000002,71.075128,57.197742000000005,45.742927,68.887242,60.081255000000006,70.985407,16001.889647999998
